id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
789,324,206,"Collins, Eileen M.","Collins, Eileen M.",female,1956,U.S.,military,NASA- 13,1990,1,4,pilot,1995,STS-63,STS-63,STS-63,STS-63,198.5,0,0,0
790,324,206,"Collins, Eileen M.","Collins, Eileen M.",female,1956,U.S.,military,NASA- 13,1990,2,4,pilot,1997,STS-84,STS-84,STS-84,STS-84,120,0,0,0
791,324,206,"Collins, Eileen M.","Collins, Eileen M.",female,1956,U.S.,military,NASA- 13,1990,3,4,commander,1999,STS-93,STS-93,STS-93,STS-93,119,0,0,0
792,324,206,"Collins, Eileen M.","Collins, Eileen M.",female,1956,U.S.,military,NASA- 13,1990,4,4,commander,2005,STS-114,STS-114,STS-114,STS-114,333,0,0,0
793,325,207,"Gregory, William G.","Gregory, William G.",male,1957,U.S.,military,NASA Astronaut Group 13,1990,1,1,pilot,1995,STS-67,STS-67,STS-67,STS-67,399,0,0,0
794,326,208,"Grunsfeld, John M.","Grunsfeld, John M.",male,1958,U.S.,civilian,NASA Astronaut Group 14,1992,1,5,MSP,1995,STS-67,STS-67,STS-67,STS-67,399,0,0,59.5
795,326,208,"Grunsfeld, John M.","Grunsfeld, John M.",male,1958,U.S.,civilian,NASA Astronaut Group 15,1992,2,5,MSP,1997,STS-81,STS-81,STS-81,STS-81,244,0,0,59.5
796,326,208,"Grunsfeld, John M.","Grunsfeld, John M.",male,1958,U.S.,civilian,NASA Astronaut Group 16,1992,3,5,MSP,1999,STS-103,STS-103,STS-103,STS-103,191,2,16.33,59.5
797,326,208,"Grunsfeld, John M.","Grunsfeld, John M.",male,1958,U.S.,civilian,NASA Astronaut Group 17,1992,4,5,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,3,21.15,59.5
798,326,208,"Grunsfeld, John M.","Grunsfeld, John M.",male,1958,U.S.,civilian,NASA Astronaut Group 18,1992,5,5,MSP,2009,STS-125,STS-125,STS-125,STS-125,309,3,20.97,59.5
799,327,209,"Lawrence, Wendy B.","Lawrence, Wendy B.",female,1959,U.S.,military,NASA- 14,1992,1,4,MSP,1995,STS-67,STS-67,STS-67,STS-67,399,0,0,0
800,327,209,"Lawrence, Wendy B.","Lawrence, Wendy B.",female,1959,U.S.,military,NASA- 14,1992,2,4,MSP,1997,STS-86,STS-86,STS-86,STS-86,259,0,0,0
801,327,209,"Lawrence, Wendy B.","Lawrence, Wendy B.",female,1959,U.S.,military,NASA- 14,1992,3,4,MSP,1998,STS-91,STS-91,STS-91,STS-91,235,0,0,0
802,327,209,"Lawrence, Wendy B.","Lawrence, Wendy B.",female,1959,U.S.,military,NASA- 14,1992,4,4,MSP,2005,STS-114,STS-114,STS-114,STS-114,333,0,0,0
803,328,81,"Dezhurov, Vladimir N.",Владимир Николаевич Дежуров,male,1962,U.S.S.R/Russia,military,TsPK-8,1987,1,2,commander,1995,18,Soyuz TM­21,Mir,STS­71,2768,3,18.18,36.87
804,328,81,"Dezhurov, Vladimir N.",Владимир Николаевич Дежуров,male,1962,U.S.S.R/Russia,military,TsPK-8,1987,2,2,commander,2001,3,STS-105,ISS,STS-108,3092,4,18.67,36.87
805,329,82,"Budarin, Nikolai",Николай Михайлович Бударин,male,1953,U.S.S.R/Russia,civilian,NPOE-9,1989,1,3,flight engineer,1995,19,STS­71,Mir,Soyuz TM­21,1811,3,14.53,46.02
806,329,82,"Budarin, Nikolai",Николай Михайлович Бударин,male,1953,U.S.S.R/Russia,civilian,NPOE-9,1989,2,3,flight engineer,1998,25,Soyuz TM­27,Mir,Soyuz TM­27,4980,5,31.48,46.02
807,329,82,"Budarin, Nikolai",Николай Михайлович Бударин,male,1953,U.S.S.R/Russia,civilian,NPOE-9,1989,3,3,flight engineer,2002,6,STS­113,ISS,Soyuz TMA­1,3865,0,0,46.02
808,330,210,Kregel Kevin R.,Kregel Kevin R.,male,1956,U.S.,civilian,NASA- 14,1992,1,4,pilot,1995,STS-70,STS-70,STS-70,STS-70,214,0,0,0
